hs13	32929382	32929392	0,297
hs17	41243943	41243953	182,189
hs13	32907197	32907207	35,84
hs13	32907415	32907425	70,108
hs13	32911437	32911447	205,185
hs13	32915048	32915058	58,42
hs13	32953633	32953643	29,20
hs13	32954025	32954035	68,16
hs13	32972584	32972594	82,125
hs13	32913050	32913060	0,626
hs13	32915000	32915010	0,129
hs13	32900357	32900367	56,48
hs13	32936641	32936651	0,279
hs13	32900353	32900363	58,33
hs13	32903680	32903690	0,242
hs13	32904944	32904954	21,133
hs13	32920839	32920849	1,230
hs13	32928931	32928941	156,63
hs13	32945323	32945333	63,27
hs13	32953383	32953393	0,164
hs13	32954297	32954307	16,118
hs17	41228423	41228433	84,108
hs17	41242933	41242943	154,34
hs17	41251926	41251936	109,107
hs17	41256403	41256413	18,98
hs17	41267691	41267701	78,37
